Membership No  Date Joined  Active  
    48670      2017-12-16   no    
    14139      2016-5-25    no    
    31531      2019-7-16    no    
    30705      2016-9-3     no    
    29147      2015-6-12    no    
    16618      2015-4-2     no    
    10152      2015-12-6    no    
    44492      2016-10-2    no    
    37300      2016-10-14   no    
    64376      2020-4-24    no    
    21866      2018-1-21    no    
    46939      2019-11-15   no    
    64724      2019-10-5    no    
    76730      2020-11-23   no    
    23155      2020-4-8     no    
