Membership No  Date Joined  Active  
    68242      2015-11-3    yes   
    62709      2019-11-19   yes   
    27593      2016-5-17    yes   
    11961      2019-1-3     yes   
    63037      2020-9-5     no    
    26758      2017-2-11    no    
    80973      2018-9-8     yes   
    68076      2016-11-7    no    
    97935      2016-1-13    no    
    78105      2018-8-18    no    
    91877      2016-7-25    no    
    40675      2018-9-20    yes   
    56002      2015-9-3     yes   
    33384      2019-10-6    no    
    30384      2015-12-12   no    
    93797      2018-11-9    no    
    99709      2017-7-10    no    
    42159      2019-1-17    no    
    50827      2016-12-1    yes   
    43873      2015-8-7     no    
